区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,青年湖西里 ,2室1厅,53.32,750,140661,房本满五年,南北,简装,无,底层(共5层)1993年建板楼,,-
东城,天坛西里东区 ,2室1厅,60.03,550,91621,房本满五年,东西,简装,无,中楼层(共4层)1991年建板楼,,-
东城,安外东河沿 ,2室1厅,61.83,720,116449,房本满五年,南,其他,无,顶层(共16层)1988年建塔楼,,-
东城,左安漪园 ,2室1厅,83.34,860,103192,房本满五年,北,简装,有电梯,高楼层(共15层)2004年建塔楼,,-
东城,西营房 ,2室1厅,85.12,800,93985,房本满五年,东,精装,无,中楼层(共19层)2006年建塔楼,,-
东城,本家润园一期 ,1室1厅,71.11,885,124456,房本满五年,东西,简装,无,低楼层(共11层)2005年建板楼,,-
东城,东总布胡同 ,2室1厅,57.27,650,113498,房本满五年,南北,精装,无,中楼层(共6层)1990年建板楼,,-
东城,培新街乙5号院 ,2室1厅,69.03,798,115602,房本满五年,东西北,精装,有电梯,低楼层(共16层)1999年建板塔结合,,-
东城,左安浦园 ,1室1厅,67.36,588,87293,房本满五年,东,其他,有电梯,低楼层(共18层)2004年建板楼,,-
东城,万国城MOMA ,1室1厅,59.11,750,126883,房本满五年,南,精装,有电梯,中楼层(共27层)2004年建塔楼,,-
东城,和平里六区 ,2室1厅,75.46,880,116619,房本满五年,南北,简装,无,中楼层(共18层)1993年建塔楼,,-
东城,仓夹道 ,3室1厅,88.45,1110,125495,房本满五年,东南北,精装,无,中楼层(共22层)2003年建塔楼,,-
东城,绿景苑 ,3室2厅,155.88,1650,105851,房本满五年,南西北,简装,有电梯,低楼层(共14层)1999年建板楼,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,900,110688,房本满五年,东西,简装,无电梯,高楼层(共6层)1990年建板楼,,-
东城,永定门外大街 ,2室1厅,50.01,430,85983,,东,精装,无电梯,高楼层(共6层)1982年建板楼,,-
东城,香河园北里 ,3室1厅,74.95,760,101401,,南北,精装,无电梯,高楼层(共6层)1986年建板楼,,-
东城,鸿安国际大厦 ,4室2厅,242.45,1600,65993,,东西,其他,有电梯,高楼层(共12层)2002年建板塔结合,,-
东城,景泰西里西区 ,1室1厅,61.02,498,81613,,南,精装,有电梯,中楼层(共9层)2005年建板塔结合,,-
东城,北京上舍 ,4室2厅,202.45,2050,101260,,南北,精装,有电梯,中楼层(共14层)2008年建板楼,,-
东城,民安小区东直门内北小街 ,4室2厅,142.18,1350,94951,,东,简装,有电梯,高楼层(共16层)2003年建板楼,,-
东城,金世纪嘉园 ,1室1厅,65.6,660,100610,,东北,精装,有电梯,中楼层(共18层)2003年建塔楼,,-
东城,国瑞城中区 ,1室1厅,64.84,710,109501,,南北,精装,无,低楼层(共16层)2006年建板塔结合,,-
东城,国瑞城中区 ,1室1厅,64.84,710,109501,房本满五年,南北,精装,无,低楼层(共16层)2006年建板塔结合,,-
东城,和平里七区 ,2室1厅,51.79,590,113922,房本满五年,南,简装,无,顶层(共5层)1982年建板楼,,-
东城,湖景苑 ,2室1厅,82.44,1150,139496,房本满五年,南北,简装,有电梯,高楼层(共10层)1999年建板塔结合,,-
东城,兴隆都市馨园 ,2室1厅,67.71,800,118151,房本满五年,南北,其他,无电梯,低楼层(共6层)2003年建板塔结合,,-
东城,保利蔷薇 ,1室1厅,48.75,640,131283,房本满五年,北,精装,有电梯,高楼层(共9层)2008年建塔楼,,-
东城,左安浦园 ,2室1厅,60.8,560,92106,房本满五年,东南,简装,有电梯,中楼层(共16层)2004年建板塔结合,,-
东城,东中街 ,2室1厅,42.46,465,109515,房本满五年,南,精装,无,顶层(共5层)1982年建板楼,,-
东城,金世纪嘉园 ,3室1厅,132.33,1350,102018,房本满五年,西南,简装,有电梯,顶层(共18层)2003年建塔楼,,-
东城,东花市北里中区 ,3室2厅,151.68,1350,89004,房本满五年,南北,简装,无电梯,顶层(共6层)1990年建板楼,,-
东城,安外西河沿 ,3室1厅,72.63,871,119923,房本满五年,东南,简装,有电梯,中楼层(共11层)1983年建板楼,,-
东城,民旺园 ,2室1厅,64.42,610,94692,房本满五年,南北,简装,无,中楼层(共4层)1960年建板楼,,-
东城,远洋德邑 ,2室1厅,106.28,1060,99737,房本满五年,东,精装,有电梯,中楼层(共14层)2002年建板塔结合,,-
东城,东直门内北小街16号 ,2室2厅,89.74,980,109205,房本满五年,东西,简装,有电梯,高楼层(共10层)2003年建板塔结合,,-
东城,北总布胡同 ,3室1厅,71.5,860,120280,房本满五年,东北,简装,无,顶层(共6层)1988年建板楼,,-
东城,东方银座 ,2室1厅,146.39,1300,88804,房本满五年,西,精装,有电梯,高楼层(共27层)2003年建塔楼,,-
东城,定安里 ,2室1厅,53.45,425,79514,房本满五年,东西,简装,无,中楼层(共6层)1978年建板楼,,-
